trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
5672,False,"{'a': 0.6, 'e': 0.05865983665751736}",25,10,25.094514857845848,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5673,False,"{'a': 0.6, 'e': 0.05863051407044624}",30,12,31.935480471105997,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5674,False,"{'a': 0.6, 'e': 0.058601206141003954}",25,3,24.55321887894446,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
5675,False,"{'a': 0.6, 'e': 0.05857191286186353}",20,11,20.161289349497245,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5676,False,"{'a': 0.6, 'e': 0.0585426342257016}",30,19,21.81702659588603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5677,False,"{'a': 0.6, 'e': 0.05851337022519853}",25,19,9.3028131395509,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5678,False,"{'a': 0.6, 'e': 0.05848412085303835}",25,11,25.084329199361314,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5679,False,"{'a': 0.6, 'e': 0.05845488610190866}",30,16,27.351628098060182,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5680,False,"{'a': 0.6, 'e': 0.05842566596450083}",25,9,18.884864461994013,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
5681,False,"{'a': 0.6, 'e': 0.05839646043350977}",20,0,31.764111198360478,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5682,False,"{'a': 0.6, 'e': 0.058367269501634116}",20,6,14.584513080886184,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
5683,False,"{'a': 0.6, 'e': 0.05833809316157617}",20,6,23.716189492584878,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5684,False,"{'a': 0.6, 'e': 0.05830893140604179}",20,5,28.72797281474926,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5685,False,"{'a': 0.6, 'e': 0.058279784227740564}",30,19,16.942710873116788,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5686,False,"{'a': 0.6, 'e': 0.05825065161938573}",20,12,-25.003663327032694,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
5687,False,"{'a': 0.6, 'e': 0.05822153357369408}",20,12,15.119403990859885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5688,False,"{'a': 0.6, 'e': 0.05819243008338615}",25,13,19.61109924391046,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
